,PMs  -  CUTTING/SETTING SYSTEMS,,,,,,,,,
,,,,,,,,,,
,The setting machine and automatic glazing line are comprised of:,,,,,,,,,
,,,,,,,,,,
,3 SLUGS CUTTERS NEW MODEL TYPE,01-2124 NN 2 001,,,,,,,,
,ACCELERATING BELT TO THE SLUG TRANSFER CONVEYORS,01-2124 NN 2 002,,,,,,,,
,90° SLUGS TRANSFER ,01-2124 NN 2 004,,,,,,,,
,2 SLUGS TRANSFER CONVEYORS ,01-2124 NN 2 005,,,,,,,,
,2 OFF-BEARING CONVEYORS WITH RETRACTABLE CUSHIONED SLUG STOP ,01-2124 NN 2 006,,,,,,,,
,2 VERTICAL ACTION MULTI-WIRE CUTTERS ,01-2124 NN 2 007,,,,,,,,
,2 CUT SLUG RECEIVING CONVEYORS,01-2124 NN 2 008,,,,,,,,
,2 CUT SLUG DOUBLER / FACER GRIPPERS,01-2124 NN 2 009,,,,,,,,
,1 ELEVATING / TRANSFERRING SLUG GRIPPER,01-2124 NN 2 010,,,,,,,,
,1 SETTING BELT CONVEYOR,01-2124 NN 2 011,,,,,,,,
,2 EDGE NON SPREADABLE ROBOT TOOLS,01-2124 NN 2 012,,,,,,,,
,"2 ROBOT TOOLS FOR 16"" PRODUCTS",01-2124 NN 2 013,,,,,,,,
,2 MONORAIL CRANES TO ASSIST WITH TABLE PLATEN CHANGEOVER,01-2124 NN 2 014,,,,,,,,
,1 RECEIVING AND GLAZING CONVEYOR,01-2124 NN 2 102,,,,,,,,
,1 ACCELERATING CONVEYOR,01-2124 NN 2 103,,,,,,,,
,1 RIGHT ANGLE TRANSFER CONVEYOR,01-2124 NN 2 104,,,,,,,,
,1 CONVEYOR THROUGH I/R DRYING OVEN,01-2124 NN 2 105,,,,,,,,
,1 EVACUATING PUSHER,01-2124 NN 2 106,,,,,,,,
,1 FEEDING CONVEYOR TO THE STAR WHEEL,01-2124 NN 2 107,,,,,,,,
,1 TURNING DEVICE,01-2124 NN 2 109,,,,,,,,
,1 SETTING CONVEYOR,01-2124 NN 2 110,,,,,,,,
,2 SANDING DRUMS,01-2124 NN 2 111,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,GENERIC PROCEDURES AND FREQUENCIES,,,,,,,,,
,EVERY 160 HOURS,INTERVENTION LEVEL,,Persons qualified to carry out operations on the installation.,,,,,,
,Grease heavily loaded belt bearings. ,LEV 2,,Level 1 : (LEV 1),User,,,,,
                         ,Check corrects positioning of belts on drums. ,LEV 2,,Level 2 : (LEV 2) ,Mechanical maintenance (mechanics)  Pneumatic maintenance,,,,,
,Check that waste material does not stick on belt drums. ,LEV 1,,Level 3 : (LEV 3),Electrical maintenance (electricians),,,,,
,Clean the product transfer chains and guide rails. ,LEV 2,,Level 4 : (LEV 4),Constructor (CERIC Automation),,,,,
,Check the gripper linings used for load handling. ,LEV 2,,,,,,,,
,Clean dust from photoelectric cells using an anti static product. ,LEV 1,,,,,,,,
,Check the wash pot bleeds on machine supplies. ,LEV 2,,,,,,,,
,Fill the air lubrifiers and bleed the filters. ,LEV 2,,,,,,,,
,Check the Warlon linings on the packing envelope soldering irons. ,LEV 2,,,,,,,,
,Check for correct unwinding of packing envelope material. ,LEV 1,,,,,,,,
,Check that there is no material entangled in the trolleys. ,LEV 1,,,,,,,,
,Clean the kiln material handling car tracks. ,LEV 1,,,,,,,,
,Grease ball guiding. ,LEV 2,,,,,,,,
,,,,,,,,,,
,EVERY 960 HOURS,,,,,,,,,
,Lubrication bearings.,LEV 2,,,,,,,,
,Lubrication ball and joint.,LEV 2,,,,,,,,
,Tighten cam rollers and check the sliders.,LEV 2,,,,,,,,
,Check heavy duty motor mountings.,LEV 2,,,,,,,,
,Check heavy duty motor band tension.,LEV 2,,,,,,,,
,Check heavy duty motor brake air gap.,LEV 3,,,,,,,,
,Check transport belt tension.,LEV 2,,,,,,,,
,Clean detector and limit stop detector,LEV 2,,,,,,,,
,Check combustion components of retraction ramp.,LEV 3,,,,,,,,
,Check that cables are correctly wound on the handling car winches.,LEV 2,,,,,,,,
,"Check safety components = stroke limiters contacts, safety units, torque limiters, door and gate contacts, safety interlock switch, safety photocells, emergency shut down, safety logic block, contactor, signal and warning mechanism.",LEV 3,,,,,,,,
,,,,,,,,,,
,EVERY 2000 HOURS,,,,,,,,,
,Check the rail mounted gripper guide rollers. ,LEV 2,,,,,,,,
,"Check the alignment of fixed equipment and mobile equipment (transfer platform, lifting platform, pusher, etc....). ",LEV 2,,,,,,,,
,Grease the raise/lower guides. ,LEV 2,,,,,,,,
,Grease the slewing rings and pinions. ,LEV 2,,,,,,,,
,"Grease transmission, lifting and coupling chains. ",LEV 2,,,,,,,,
,"Check machine components in contact with the product = stops, tipper teeth,.... ",LEV 2,,,,,,,,
,"Check the transporter band joints, Sandwick bands, welded belts,... ",LEV 2,,,,,,,,
,"Check couplings, the state of transmission belt tensions in general ",LEV 2,,,,,,,,
,Check brake gaps on all motors. ,LEV 3,,,,,,,,
,Check terminal box mountings on heavy duty motors. ,LEV 3,,,,,,,,
,Check the brushes on DC motors. ,LEV 3,,,,,,,,
,"Check reducer gear unit, Sopap and transmission oil levels. ",LEV 2,,,,,,,,
,Check grounding braids on cabinet doors and control panels... ,LEV 3,,,,,,,,
,Check the condition of cable sheaths and the cables inside them or on trolleys. ,LEV 3,,,,,,,,
,Check the gas circuit on the retraction ramp. ,LEV 2,,,,,,,,
,Check the condition of the Vulcolan rollers on the roller track. ,LEV 2,,,,,,,,
,Check oil levels in the hydraulic units. ,LEV 2,,,,,,,,
,Check for leaks on hydraulic and pneumatic circuits. ,LEV 2,,,,,,,,
,"Check chain tensions on material handling cars (shifter, pusher,...). ",LEV 2,,,,,,,,
,Grease ratchets on kiln handling equipment. ,LEV 2,,,,,,,,
,Check for wear on car brakes. ,LEV 2,,,,,,,,
,Check kiln door seals. ,LEV 2,,,,,,,,
,,,,,,,,,,
,EVERY 4000 HOURS,,,,,,,,,
,"Check gripper raise/lower rollers, enveloping packager, retraction oven. ",LEV 2,,,,,,,,
,Check ball sockets and transmission shafts. ,LEV 2,,,,,,,,
,Check the condition and good working order of reverse lock ratchets. ,LEV 2,,,,,,,,
,"Check lifting components = pinions, chains, chain attachments, anchor point weldments. ",LEV 2,,,,,,,,
,Check the return roller rails and belts. ,LEV 2,,,,,,,,
,Make a thorough check of all fasteners. ,LEV 2,,,,,,,,
,Check wear of guide bars and transporter bands. ,LEV 2,,,,,,,,
,Check the condition of the U gripper handling linings. ,LEV 2,,,,,,,,
,Check for play in grippers and linkages. ,LEV 2,,,,,,,,
,"Tighten all cabinet, junction box and control panel terminals. ",LEV 3,,,,,,,,
,Change the oil in reducer units. ,LEV 2,,,,,,,,
,Change the oil in hydraulic units. ,LEV 2,,,,,,,,
,Check haulage car chains. ,LEV 3,,,,,,,,
